Biosample name	Original biosample indices	Altius Biosample IDs
GM06990	[0, 706]	['DS7748', 'DS7784']
HepG2	[1, 597, 598, 705]	['DS7764', 'DS24845A', 'DS24838A', 'DS7768']
hTH1	[2, 300, 340]	['DS7840', 'DS17592', 'DS18015']
Hela	[3]	['DS8200']
CACO2	[4, 5]	['DS8235', 'DS8416']
SKNSH	[6, 7]	['DS8476', 'DS8482']
HMEC	[8, 149]	['DS8680', 'DS13921']
GM12878	[9, 26]	['DS9432', 'DS10671']
MCF7	[10, 85, 342, 356]	['DS9445', 'DS12619', 'DS18021', 'DS18267']
K562	[11, 12, 206, 251, 708]	['DS9764', 'DS9767', 'DS15363', 'DS16924', 'DS52908H']
PANC1	[13, 14]	['DS9873', 'DS9955']
HeLaS3	[15, 592, 593]	['DS10011', 'DS24790A', 'DS24785A']
BJ	[16, 18]	['DS10018', 'DS10081']
HUVEC	[17, 133]	['DS10060', 'DS13475']
HESC	[19]	['DS10167']
SAEC	[20, 21]	['DS10514', 'DS10518']
HRE	[22, 23]	['DS10631', 'DS10641']
HRCE	[24, 25]	['DS10662', 'DS10666']
Jurkat	[27, 88]	['DS10681', 'DS12659']
hTH17	[28]	['DS11039']
CD34	[29, 34, 56, 61, 62, 95, 96, 97, 115, 116, 153, 157, 158, 159, 245, 260, 526]	['DS11202', 'DS11666', 'DS12274', 'DS12336', 'DS12339', 'DS12771', 'DS12774', 'DS12785', 'DS13196', 'DS13199', 'DS14040', 'DS14129', 'DS14197', 'DS14206', 'DS16814', 'DS17112', 'DS12734']
NHEK	[30, 31]	['DS11474', 'DS11476']
HConF	[32, 33]	['DS11637', 'DS11642']
HL60	[35, 40]	['DS11733', 'DS11809']
HGF	[36, 37]	['DS11738', 'DS11752']
IMR90	[38, 39, 117, 118]	['DS11759', 'DS11764', 'DS13219', 'DS13229']
H7_hESC_T14	[41, 53]	['DS11814', 'DS12147']
fBrain	[42, 43, 170, 179, 180, 188, 190, 207, 225, 452, 453, 454, 481, 560, 584, 594, 603, 660]	['DS11872', 'DS11877', 'DS14464', 'DS14717', 'DS14718', 'DS14803', 'DS14815', 'DS15453', 'DS16302', 'DS20221', 'DS20226', 'DS20231', 'DS20780', 'DS23813A', 'DS24711A', 'DS24775A', 'DS24872A', 'DS23849C']
hESCT0	[44, 110]	['DS11909', 'DS13133']
NHDF_Neo	[45, 46]	['DS11918', 'DS11923']
SkMC	[47]	['DS11939']
H7_hESC_T5	[48, 216]	['DS11953', 'DS15665']
NHBE_RA	[49, 50]	['DS11959', 'DS11969']
PrEC	[51, 52]	['DS12088', 'DS12098']
AG04450	[54, 55]	['DS12255', 'DS12270']
AG09319	[57, 58]	['DS12286', 'DS12291']
AG04449	[59, 60]	['DS12319', 'DS12329']
AG09309	[63, 64]	['DS12352', 'DS12357']
AG10803	[65, 66]	['DS12374', 'DS12384']
CMK	[67]	['DS12393']
GM12864	[68]	['DS12431']
GM12865	[69, 70]	['DS12436', 'DS12442']
HCPEpiC	[71, 72]	['DS12447', 'DS12457']
HNPCEpiC	[73, 74]	['DS12467', 'DS12471']
HCF	[75, 76]	['DS12491', 'DS12501']
fAdrenal	[77, 199, 278, 310, 461, 524, 525]	['DS12528', 'DS15123', 'DS17319', 'DS17677', 'DS20343', 'DS19583', 'DS19395']
fHeart	[78, 100, 214, 218, 220, 223, 230, 237, 240, 246, 424, 425, 587, 631, 643, 644, 686, 687]	['DS12531', 'DS12810', 'DS15643', 'DS15839', 'DS16018', 'DS16146', 'DS16500', 'DS16582', 'DS16621', 'DS16819', 'DS19427', 'DS19431', 'DS24731A', 'DS23853E', 'DS24812A', 'DS24799A', 'DS37401A', 'DS37473A']
NB4	[79, 80]	['DS12538', 'DS12543']
HRPEpiC	[81, 82]	['DS12568', 'DS12583']
HCM	[83, 84]	['DS12589', 'DS12599']
fKidney	[86, 222, 249, 255, 293, 315, 475, 522, 523, 529, 531, 571, 633, 641, 723, 724, 725, 727]	['DS12635', 'DS16139', 'DS16837', 'DS17068', 'DS17522', 'DS17753', 'DS20564', 'DS21096', 'DS20987', 'DS20786', 'DS20988', 'DS21924A', 'DS23873E', 'DS24709A', 'DS23388A', 'DS24714A', 'DS24801A', 'DS24814A']
fLung	[87, 101, 136, 152, 175, 181, 183, 189, 191, 205, 208, 211, 566, 576, 589, 726]	['DS12646', 'DS12817', 'DS13507', 'DS13985', 'DS14666', 'DS14724', 'DS14751', 'DS14809', 'DS14820', 'DS15227', 'DS15461', 'DS15573', 'DS23983C', 'DS24360A', 'DS24726A', 'DS24806A']
HAEpiC	[89, 90]	['DS12663', 'DS12673']
HIPEpiC	[91, 92]	['DS12684', 'DS12689']
HEEpiC	[93, 94]	['DS12763', 'DS12768']
NHA	[98, 99]	['DS12800', 'DS12805']
NHLF	[102, 103]	['DS12829', 'DS12834']
NHDF_Ad	[104, 105]	['DS12855', 'DS12863']
HPAEC	[106]	['DS12916']
